,fecha,delito,conteo
535,2020-04-01,Homicidio culposo,103.0
536,2020-04-01,Homicidio doloso,104.0
537,2020-04-01,Lesiones culposas,197.0
538,2020-04-01,Lesiones dolosas,603.0
539,2020-04-01,Otros delitos contra la sociedad,19.0
540,2020-04-01,Otros delitos que atentan contra la libertad personal,348.0
541,2020-04-01,Otros delitos que atentan contra la vida y la integridad corporal,84.0
542,2020-04-01,Rapto,4.0
543,2020-04-01,Secuestro,2.0
544,2020-04-01,Tráfico de menores,0.0
545,2020-04-01,Trata de personas,23.0
546,2021-04-01,Corrupción de menores,170.0
547,2021-04-01,Extorsión,17.0
548,2021-04-01,Feminicidio,7.0
549,2021-04-01,Homicidio culposo,126.0
550,2021-04-01,Homicidio doloso,86.0
551,2021-04-01,Lesiones culposas,375.0
552,2021-04-01,Lesiones dolosas,833.0
553,2021-04-01,Otros delitos contra la sociedad,21.0
554,2021-04-01,Otros delitos que atentan contra la libertad personal,524.0
555,2021-04-01,Otros delitos que atentan contra la vida y la integridad corporal,146.0
556,2021-04-01,Rapto,13.0
557,2021-04-01,Secuestro,7.0
558,2021-04-01,Tráfico de menores,4.0
559,2021-04-01,Trata de personas,44.0
560,2022-04-01,Corrupción de menores,206.0
561,2022-04-01,Extorsión,23.0
562,2022-04-01,Feminicidio,9.0
563,2022-04-01,Homicidio culposo,128.0
564,2022-04-01,Homicidio doloso,84.0
565,2022-04-01,Lesiones culposas,578.0
566,2022-04-01,Lesiones dolosas,938.0
567,2022-04-01,Otros delitos contra la sociedad,14.0
568,2022-04-01,Otros delitos que atentan contra la libertad personal,552.0
569,2022-04-01,Otros delitos que atentan contra la vida y la integridad corporal,220.0
570,2022-04-01,Rapto,9.0
571,2022-04-01,Secuestro,3.0
572,2022-04-01,Tráfico de menores,2.0
573,2022-04-01,Trata de personas,36.0
574,2023-04-01,Corrupción de menores,201.0
575,2023-04-01,Extorsión,17.0
576,2023-04-01,Feminicidio,8.0
577,2023-04-01,Homicidio culposo,131.0
578,2023-04-01,Homicidio doloso,87.0
579,2023-04-01,Lesiones culposas,605.0
580,2023-04-01,Lesiones dolosas,881.0
581,2023-04-01,Otros delitos contra la sociedad,15.0
582,2023-04-01,Otros delitos que atentan contra la libertad personal,735.0
583,2023-04-01,Otros delitos que atentan contra la vida y la integridad corporal,165.0
584,2023-04-01,Rapto,4.0
585,2023-04-01,Secuestro,7.0
586,2023-04-01,Tráfico de menores,0.0
587,2023-04-01,Trata de personas,36.0
588,2024-04-01,Corrupción de menores,227.0
589,2024-04-01,Extorsión,29.0
590,2024-04-01,Feminicidio,7.0
591,2024-04-01,Homicidio culposo,125.0
592,2024-04-01,Homicidio doloso,76.0
593,2024-04-01,Lesiones culposas,661.0
594,2024-04-01,Lesiones dolosas,1208.0
595,2024-04-01,Otros delitos contra la sociedad,36.0
596,2024-04-01,Otros delitos que atentan contra la libertad personal,771.0
597,2024-04-01,Otros delitos que atentan contra la vida y la integridad corporal,181.0
598,2024-04-01,Rapto,5.0
599,2024-04-01,Secuestro,8.0
